"","Site","Oi_sum","Oe_sum","Oa_sum","E_sum","Bhs_sum","Bs_sum","BC_sum","C_sum","Bhb_sum","B_sum","R_sum","Bs1_sum","Bs2_sum","Bhs1_sum","Bhs2_sum","Bh_sum","BC?_sum","E1_sum","E2_sum","A_sum","Eb_sum","BCb'_sum","Eb'_sum","Bsb_sum","BCb''_sum","BC'1_sum","BC'2_sum","BC'3_sum","E/Bg_sum","Bh?_sum","E/Bhs1_sum","Oa1_sum","Oa2_sum","C1_sum","C2_sum","E/Bhs_sum","Bh1_sum","Bh2_sum","E/B_sum","B?_sum","O_sum","HPU","Bottom_Interface","Total_Depth","allO_thickness","allE_thickness","allBhs_thickness","allBs_thickness","allBh_thickness","allBg_thickness","allBw_thickness","allBC_thickness","allC_thickness","Sub","Site2","x","y","geometry"
"29","42R14C9",0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,NA,"Bh","53",10,0,27,0,16,0,0,0,0,42,"R14C9",281648.721,4871205.622,c(281648.721, 4871205.622)
"30","42R15C10",0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,NA,"R","33",5,0,28,0,0,0,0,0,0,42,"R15C10",281645.456,4871198.671,c(281645.456, 4871198.671)
"31","42R15C11",0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,NA,"R","24",6,0,18,0,0,0,0,0,0,42,"R15C11",281651.688,4871200.714,c(281651.688000001, 4871200.714)
"32","42R15C12",0,0,0,0,21,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,NA,"R","51",6,0,21,0,0,0,0,0,0,42,"R15C12",281657.475,4871200.929,c(281657.475, 4871200.929)
"33","42R15C6",0,0,0,0,9,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,NA,"R","30",6,0,9,0,0,0,0,0,0,42,"R15C6",281629.442,4871204.018,c(281629.442, 4871204.018)
"34","42R15C7",0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,NA,"R","24",4,0,20,0,0,0,0,0,0,42,"R15C7",281633.662,4871200.794,c(281633.662, 4871200.794)
"35","42R15C8",0,0,0,21,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,NA,"R","54",3,21,0,0,0,0,0,0,0,42,"R15C8",281638.377,4871198.567,c(281638.377, 4871198.567)
"36","42R15C9",0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,NA,"R","30",15,0,15,0,0,0,0,0,0,42,"R15C9",281643.377,4871201.186,c(281643.377, 4871201.186)
"37","42R16C10",0,0,0,0,12,0,14,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,NA,"R","64",10,0,12,0,28,0,0,14,0,42,"R16C10",281644.886,4871194.792,c(281644.886, 4871194.792)
"38","42R16C11",0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,NA,"O","39",9,0,15,0,15,0,0,0,0,42,"R16C11",281648.954,4871196.472,c(281648.954, 4871196.472)
